evidence_id,is_anomaly,anomaly_type,severity,explanation
EVD00044,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00045,0,,,
EVD00046,0,,,
EVD00047,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00048,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00049,0,,,
EVD00050,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00051,1,stale_evidence,HIGH,Evidence is 124 days old without current approval
EVD00052,1,low_confidence_evidence,MEDIUM,Confidence 0.66 below 0.70 threshold despite approval
EVD00053,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00054,1,flagged_by_system,LOW,Flagged by source system: STALE_EVIDENCE
EVD00055,0,,,
EVD00056,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00057,0,,,
EVD00058,1,stale_evidence,HIGH,Evidence is 111 days old without current approval
EVD00059,1,stale_evidence,HIGH,Evidence is 121 days old without current approval
EVD00060,0,,,
EVD00061,1,stale_evidence,HIGH,Evidence is 133 days old without current approval
EVD00062,0,,,
EVD00063,1,stale_evidence,HIGH,Evidence is 171 days old without current approval
EVD00064,1,stale_evidence,HIGH,Evidence is 168 days old without current approval
EVD00065,0,,,
EVD00066,1,stale_evidence,HIGH,Evidence is 92 days old without current approval
EVD00067,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00068,0,,,
EVD00069,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00070,1,stale_evidence,HIGH,Evidence is 146 days old without current approval
EVD00071,1,stale_evidence,HIGH,Evidence is 125 days old without current approval
EVD00072,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00073,1,low_confidence_evidence,MEDIUM,Confidence 0.55 below 0.70 threshold despite approval
EVD00074,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00075,1,stale_evidence,HIGH,Evidence is 149 days old without current approval
EVD00076,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00077,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00078,1,stale_evidence,HIGH,Evidence is 98 days old without current approval
EVD00079,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00080,1,low_confidence_evidence,MEDIUM,Confidence 0.68 below 0.70 threshold despite approval
EVD00081,1,low_confidence_evidence,MEDIUM,Confidence 0.61 below 0.70 threshold despite approval
EVD00082,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00083,0,,,
EVD00084,1,stale_evidence,HIGH,Evidence is 158 days old without current approval
EVD00085,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00086,1,low_confidence_evidence,MEDIUM,Confidence 0.62 below 0.70 threshold despite approval
EVD00087,0,,,
EVD00088,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00089,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00090,1,low_confidence_evidence,MEDIUM,Confidence 0.67 below 0.70 threshold despite approval
EVD00091,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00092,1,low_confidence_evidence,MEDIUM,Confidence 0.57 below 0.70 threshold despite approval
EVD00093,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00094,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00095,0,,,
EVD00096,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00097,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00098,1,flagged_by_system,LOW,Flagged by source system: MISSING_DOCUMENTATION
EVD00099,1,stale_evidence,HIGH,Evidence is 153 days old without current approval
EVD00100,1,stale_evidence,HIGH,Evidence is 144 days old without current approval
EVD00101,1,low_confidence_evidence,MEDIUM,Confidence 0.58 below 0.70 threshold despite approval
EVD00102,1,low_confidence_evidence,MEDIUM,Confidence 0.57 below 0.70 threshold despite approval
EVD00103,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00104,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00105,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00106,1,stale_evidence,HIGH,Evidence is 114 days old without current approval
EVD00107,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00108,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00109,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00110,0,,,
EVD00111,0,,,
EVD00112,1,stale_evidence,HIGH,Evidence is 166 days old without current approval
EVD00113,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00114,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00115,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00116,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00117,0,,,
EVD00118,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00119,1,low_confidence_evidence,MEDIUM,Confidence 0.68 below 0.70 threshold despite approval
EVD00120,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00121,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00122,1,stale_evidence,HIGH,Evidence is 99 days old without current approval
EVD00123,0,,,
EVD00124,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00125,1,stale_evidence,HIGH,Evidence is 138 days old without current approval
EVD00126,0,,,
EVD00127,1,stale_evidence,HIGH,Evidence is 133 days old without current approval
EVD00128,0,,,
EVD00129,1,stale_evidence,HIGH,Evidence is 151 days old without current approval
EVD00130,1,stale_evidence,HIGH,Evidence is 142 days old without current approval
EVD00131,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00132,1,stale_evidence,HIGH,Evidence is 96 days old without current approval
EVD00133,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00134,0,,,
EVD00135,1,stale_evidence,HIGH,Evidence is 107 days old without current approval
EVD00136,1,stale_evidence,HIGH,Evidence is 177 days old without current approval
EVD00137,1,low_confidence_evidence,MEDIUM,Confidence 0.57 below 0.70 threshold despite approval
EVD00138,1,stale_evidence,HIGH,Evidence is 94 days old without current approval
EVD00139,1,low_confidence_evidence,MEDIUM,Confidence 0.68 below 0.70 threshold despite approval
EVD00140,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00141,1,stale_evidence,HIGH,Evidence is 125 days old without current approval
EVD00142,0,,,
EVD00143,1,stale_evidence,HIGH,Evidence is 108 days old without current approval
EVD00144,0,,,
EVD00145,0,,,
EVD00146,0,,,
EVD00147,0,,,
EVD00148,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00149,1,flagged_by_system,LOW,Flagged by source system: MISSING_DOCUMENTATION
EVD00150,0,,,
EVD00151,0,,,
EVD00152,0,,,
EVD00153,0,,,
EVD00154,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00155,0,,,
EVD00156,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00157,0,,,
EVD00158,0,,,
EVD00159,0,,,
EVD00160,0,,,
EVD00161,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00162,1,stale_evidence,HIGH,Evidence is 97 days old without current approval
EVD00163,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00164,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00165,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00166,1,low_confidence_evidence,MEDIUM,Confidence 0.54 below 0.70 threshold despite approval
EVD00167,1,stale_evidence,HIGH,Evidence is 161 days old without current approval
EVD00168,0,,,
EVD00169,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00170,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00171,1,stale_evidence,HIGH,Evidence is 146 days old without current approval
EVD00172,0,,,
EVD00173,1,low_confidence_evidence,MEDIUM,Confidence 0.62 below 0.70 threshold despite approval
EVD00174,1,low_confidence_evidence,MEDIUM,Confidence 0.57 below 0.70 threshold despite approval
EVD00175,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00176,1,stale_evidence,HIGH,Evidence is 99 days old without current approval
EVD00177,1,stale_evidence,HIGH,Evidence is 93 days old without current approval
EVD00178,1,stale_evidence,HIGH,Evidence is 178 days old without current approval
EVD00179,1,stale_evidence,HIGH,Evidence is 115 days old without current approval
EVD00180,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00181,1,stale_evidence,HIGH,Evidence is 146 days old without current approval
EVD00182,1,low_confidence_evidence,MEDIUM,Confidence 0.65 below 0.70 threshold despite approval
EVD00183,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00184,0,,,
EVD00185,0,,,
EVD00186,1,stale_evidence,HIGH,Evidence is 174 days old without current approval
EVD00187,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00188,0,,,
EVD00189,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00190,1,stale_evidence,HIGH,Evidence is 168 days old without current approval
EVD00191,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00192,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00193,1,stale_evidence,HIGH,Evidence is 143 days old without current approval
EVD00194,0,,,
EVD00195,1,stale_evidence,HIGH,Evidence is 111 days old without current approval
EVD00196,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00197,0,,,
EVD00198,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00199,0,,,
EVD00200,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00201,1,low_confidence_evidence,MEDIUM,Confidence 0.56 below 0.70 threshold despite approval
EVD00202,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00203,1,stale_evidence,HIGH,Evidence is 158 days old without current approval
EVD00204,1,stale_evidence,HIGH,Evidence is 144 days old without current approval
EVD00205,1,stale_evidence,HIGH,Evidence is 150 days old without current approval
EVD00206,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00207,0,,,
EVD00208,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00209,0,,,
EVD00210,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00211,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00212,1,stale_evidence,HIGH,Evidence is 133 days old without current approval
EVD00213,0,,,
EVD00214,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00215,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00216,1,stale_evidence,HIGH,Evidence is 129 days old without current approval
EVD00217,1,low_confidence_evidence,MEDIUM,Confidence 0.61 below 0.70 threshold despite approval
EVD00218,0,,,
EVD00219,1,stale_evidence,HIGH,Evidence is 108 days old without current approval
EVD00220,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00221,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00222,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00223,1,flagged_by_system,LOW,Flagged by source system: STALE_EVIDENCE
EVD00224,1,stale_evidence,HIGH,Evidence is 132 days old without current approval
EVD00225,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00226,1,stale_evidence,HIGH,Evidence is 117 days old without current approval
EVD00227,1,stale_evidence,HIGH,Evidence is 128 days old without current approval
EVD00228,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00229,1,stale_evidence,HIGH,Evidence is 123 days old without current approval
EVD00230,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00231,0,,,
EVD00232,1,stale_evidence,HIGH,Evidence is 179 days old without current approval
EVD00233,1,stale_evidence,HIGH,Evidence is 105 days old without current approval
EVD00234,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00235,0,,,
EVD00236,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00237,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00238,1,low_confidence_evidence,MEDIUM,Confidence 0.59 below 0.70 threshold despite approval
EVD00239,0,,,
EVD00240,1,stale_evidence,HIGH,Evidence is 127 days old without current approval
EVD00241,1,low_confidence_evidence,MEDIUM,Confidence 0.51 below 0.70 threshold despite approval
EVD00242,0,,,
EVD00243,1,stale_evidence,HIGH,Evidence is 172 days old without current approval
EVD00244,1,stale_evidence,HIGH,Evidence is 138 days old without current approval
EVD00245,0,,,
EVD00246,1,stale_evidence,HIGH,Evidence is 109 days old without current approval
EVD00247,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00248,1,flagged_by_system,LOW,Flagged by source system: MISSING_DOCUMENTATION
EVD00249,0,,,
EVD00250,0,,,
EVD00251,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00252,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00253,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00254,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00255,1,low_confidence_evidence,MEDIUM,Confidence 0.65 below 0.70 threshold despite approval
EVD00256,1,low_confidence_evidence,MEDIUM,Confidence 0.65 below 0.70 threshold despite approval
EVD00257,0,,,
EVD00258,0,,,
EVD00259,1,stale_evidence,HIGH,Evidence is 91 days old without current approval
EVD00260,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00261,0,,,
EVD00262,1,low_confidence_evidence,MEDIUM,Confidence 0.63 below 0.70 threshold despite approval
EVD00263,0,,,
EVD00264,1,stale_evidence,HIGH,Evidence is 119 days old without current approval
EVD00265,1,flagged_by_system,LOW,Flagged by source system: STALE_EVIDENCE
EVD00266,0,,,
EVD00267,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00268,1,stale_evidence,HIGH,Evidence is 100 days old without current approval
EVD00269,1,stale_evidence,HIGH,Evidence is 103 days old without current approval
EVD00270,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00271,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00272,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00273,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00274,0,,,
EVD00275,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00276,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00277,1,stale_evidence,HIGH,Evidence is 96 days old without current approval
EVD00278,0,,,
EVD00279,1,stale_evidence,HIGH,Evidence is 160 days old without current approval
EVD00280,0,,,
EVD00281,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00282,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00283,0,,,
EVD00284,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00285,1,low_confidence_evidence,MEDIUM,Confidence 0.65 below 0.70 threshold despite approval
EVD00286,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00287,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00288,0,,,
EVD00289,0,,,
EVD00290,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00291,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00292,0,,,
EVD00293,0,,,
EVD00294,1,stale_evidence,HIGH,Evidence is 101 days old without current approval
EVD00295,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00296,1,stale_evidence,HIGH,Evidence is 116 days old without current approval
EVD00297,0,,,
EVD00298,1,flagged_by_system,LOW,Flagged by source system: MISSING_DOCUMENTATION
EVD00299,1,stale_evidence,HIGH,Evidence is 125 days old without current approval
EVD00300,1,stale_evidence,HIGH,Evidence is 134 days old without current approval
EVD00301,0,,,
EVD00302,1,stale_evidence,HIGH,Evidence is 164 days old without current approval
EVD00303,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00304,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00305,1,stale_evidence,HIGH,Evidence is 144 days old without current approval
EVD00306,0,,,
EVD00307,0,,,
EVD00308,0,,,
EVD00309,1,flagged_by_system,LOW,Flagged by source system: STALE_EVIDENCE
EVD00310,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00311,0,,,
EVD00312,1,stale_evidence,HIGH,Evidence is 99 days old without current approval
EVD00313,0,,,
EVD00314,1,stale_evidence,HIGH,Evidence is 141 days old without current approval
EVD00315,0,,,
EVD00316,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00317,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00318,1,stale_evidence,HIGH,Evidence is 159 days old without current approval
EVD00319,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00320,0,,,
EVD00321,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00322,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00323,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00324,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00325,1,stale_evidence,HIGH,Evidence is 159 days old without current approval
EVD00326,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00327,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00328,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00329,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00330,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00331,1,stale_evidence,HIGH,Evidence is 170 days old without current approval
EVD00332,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00333,1,stale_evidence,HIGH,Evidence is 174 days old without current approval
EVD00334,1,flagged_by_system,LOW,Flagged by source system: MISSING_DOCUMENTATION
EVD00335,0,,,
EVD00336,1,flagged_by_system,LOW,Flagged by source system: MISSING_DOCUMENTATION
EVD00337,0,,,
EVD00338,1,stale_evidence,HIGH,Evidence is 110 days old without current approval
EVD00339,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00340,0,,,
EVD00341,0,,,
EVD00342,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00343,0,,,
EVD00344,0,,,
EVD00345,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00346,1,low_confidence_evidence,MEDIUM,Confidence 0.61 below 0.70 threshold despite approval
EVD00347,0,,,
EVD00348,1,flagged_by_system,LOW,Flagged by source system: STALE_EVIDENCE
EVD00349,1,stale_evidence,HIGH,Evidence is 171 days old without current approval
EVD00350,0,,,
EVD00351,0,,,
EVD00352,0,,,
EVD00353,0,,,
EVD00354,1,low_confidence_evidence,MEDIUM,Confidence 0.67 below 0.70 threshold despite approval
EVD00355,1,stale_evidence,HIGH,Evidence is 160 days old without current approval
EVD00356,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00357,1,low_confidence_evidence,MEDIUM,Confidence 0.66 below 0.70 threshold despite approval
EVD00358,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00359,1,flagged_by_system,LOW,Flagged by source system: STALE_EVIDENCE
EVD00360,0,,,
EVD00361,1,low_confidence_evidence,MEDIUM,Confidence 0.54 below 0.70 threshold despite approval
EVD00362,0,,,
EVD00363,0,,,
EVD00364,1,flagged_by_system,LOW,Flagged by source system: STALE_EVIDENCE
EVD00365,1,stale_evidence,HIGH,Evidence is 129 days old without current approval
EVD00366,0,,,
EVD00367,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00368,1,stale_evidence,HIGH,Evidence is 177 days old without current approval
EVD00369,0,,,
EVD00370,1,stale_evidence,HIGH,Evidence is 165 days old without current approval
EVD00371,1,low_confidence_evidence,MEDIUM,Confidence 0.61 below 0.70 threshold despite approval
EVD00372,1,stale_evidence,HIGH,Evidence is 123 days old without current approval
EVD00373,0,,,
EVD00374,1,stale_evidence,HIGH,Evidence is 158 days old without current approval
EVD00375,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00376,0,,,
EVD00377,1,stale_evidence,HIGH,Evidence is 176 days old without current approval
EVD00378,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00379,0,,,
EVD00380,0,,,
EVD00381,0,,,
EVD00382,1,low_confidence_evidence,MEDIUM,Confidence 0.54 below 0.70 threshold despite approval
EVD00383,0,,,
EVD00384,1,low_confidence_evidence,MEDIUM,Confidence 0.52 below 0.70 threshold despite approval
EVD00385,0,,,
EVD00386,0,,,
EVD00387,1,stale_evidence,HIGH,Evidence is 134 days old without current approval
EVD00388,1,low_confidence_evidence,MEDIUM,Confidence 0.57 below 0.70 threshold despite approval
EVD00389,0,,,
EVD00390,0,,,
EVD00391,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00392,1,stale_evidence,HIGH,Evidence is 163 days old without current approval
EVD00393,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00394,0,,,
EVD00395,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00396,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00397,1,low_confidence_evidence,MEDIUM,Confidence 0.53 below 0.70 threshold despite approval
EVD00398,1,low_confidence_evidence,MEDIUM,Confidence 0.66 below 0.70 threshold despite approval
EVD00399,0,,,
EVD00400,0,,,
EVD00401,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00402,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00403,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00404,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00405,0,,,
EVD00406,1,stale_evidence,HIGH,Evidence is 177 days old without current approval
EVD00407,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00408,1,stale_evidence,HIGH,Evidence is 173 days old without current approval
EVD00409,0,,,
EVD00410,1,stale_evidence,HIGH,Evidence is 121 days old without current approval
EVD00411,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00412,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00413,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00414,0,,,
EVD00415,1,stale_evidence,HIGH,Evidence is 97 days old without current approval
EVD00416,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00417,1,stale_evidence,HIGH,Evidence is 113 days old without current approval
EVD00418,0,,,
EVD00419,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00420,1,stale_evidence,HIGH,Evidence is 133 days old without current approval
EVD00421,0,,,
EVD00422,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00423,1,stale_evidence,HIGH,Evidence is 178 days old without current approval
EVD00424,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00425,1,stale_evidence,HIGH,Evidence is 175 days old without current approval
EVD00426,0,,,
EVD00427,0,,,
EVD00428,0,,,
EVD00429,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00430,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00431,1,stale_evidence,HIGH,Evidence is 139 days old without current approval
EVD00432,1,stale_evidence,HIGH,Evidence is 95 days old without current approval
EVD00433,0,,,
EVD00434,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00435,1,low_confidence_evidence,MEDIUM,Confidence 0.50 below 0.70 threshold despite approval
EVD00436,0,,,
EVD00437,0,,,
EVD00438,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00439,0,,,
EVD00440,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00441,1,stale_evidence,HIGH,Evidence is 132 days old without current approval
EVD00442,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00443,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
EVD00444,0,,,
EVD00445,1,stale_evidence,HIGH,Evidence is 109 days old without current approval
EVD00446,0,,,
EVD00447,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00448,1,flagged_by_system,LOW,Flagged by source system: STALE_EVIDENCE
EVD00449,1,stale_evidence,HIGH,Evidence is 130 days old without current approval
EVD00450,1,stale_evidence,HIGH,Evidence is 150 days old without current approval
EVD00451,0,,,
EVD00452,1,stale_evidence,HIGH,Evidence is 105 days old without current approval
EVD00453,1,stale_evidence,HIGH,Evidence is 136 days old without current approval
EVD00454,0,,,
EVD00455,1,stale_evidence,HIGH,Evidence is 155 days old without current approval
EVD00456,1,low_confidence_evidence,MEDIUM,Confidence 0.61 below 0.70 threshold despite approval
EVD00457,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00458,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00459,1,stale_evidence,HIGH,Evidence is 97 days old without current approval
EVD00460,1,stale_evidence,HIGH,Evidence is 177 days old without current approval
EVD00461,1,stale_evidence,HIGH,Evidence is 114 days old without current approval
EVD00462,0,,,
EVD00463,1,low_confidence_evidence,MEDIUM,Confidence 0.64 below 0.70 threshold despite approval
EVD00464,0,,,
